"1	",0.57675,
"2	",0.7269,
"3	",0.76453,
"4	",0.79285,
"5	",0.81148,
"6	",0.83979,
"7	",0.87966,
"8	",0.89083,
"9	",0.91244,
"10	",0.92213,
"11	",0.92437,
12,0.93443,
"13	",0.92809,
"14	",0.9225,
"15	",0.92064,
"16	",0.90946,
"17	",0.91133,
"18	",0.90648,
"19	",0.90537,
"20	",0.90164,
"21	",0.90164,
"22	",0.89382,
"23	",0.89158,
"24	",,
"25	",,
"26	",,
"27	",,
"28	",,
"29	",,
"30	",,
"31	",,
"32	",,
"33	",,
"34	",,
"35	",,
"36	",0.85879,
"37	",0.8614,
"38	",0.86252,
"39	",0.86289,
40,0.91292,
